exam_family,tcas_year,subject_code,subject_th,subject_en,n_examinees,mean,median,mode,sd,min,max,max_score
A-Level,69,63,วิทยาศาสตร์ประยุกต์,Sci,53340,47.282,45.6,45.6,9.739,20.0,100.0,100
A-Level,69,64,ฟิสิกส์,Phy,107914,24.767,23.0,20.0,9.673,5.0,100.0,100
A-Level,69,65,เคมี,Chem,98811,22.488,20.0,17.5,12.755,2.5,100.0,100
A-Level,69,66,ชีววิทยา,Bio,96946,33.502,31.2,28.8,12.363,1.6,100.0,100
A-Level,69,70,สังคมศึกษา,Soc,152961,38.589,38.0,38.0,8.956,0.0,84.0,100
A-Level,69,81,ภาษาไทย,Thai,157890,54.602,56.0,56.0,11.63,2.0,98.0,100
A-Level,69,82,ภาษาอังกฤษ,Eng,178786,42.424,38.75,26.25,17.433,1.25,98.75,100
A-Level,69,83,ภาษาฝรั่งเศส,Fra,2250,38.865,32.0,28.0,18.273,10.0,98.0,100
A-Level,69,84,ภาษาเยอรมัน,Deu,721,38.643,32.0,28.0,18.0,10.0,96.0,100
A-Level,69,85,ภาษาญี่ปุ่น,Jpn,4085,42.406,36.0,32.0,19.359,8.0,100.0,100
A-Level,69,86,ภาษาเกาหลี,Kor,2456,34.531,30.0,26.0,15.258,6.0,100.0,100
A-Level,69,87,ภาษาจีน,Chi,7703,36.802,30.0,24.0,18.904,4.0,100.0,100
A-Level,69,88,ภาษาบาลี,Bal,455,29.046,28.0,28.0,7.522,8.0,80.0,100
A-Level,69,89,ภาษาสเปน,Esp,1100,33.36,30.0,28.0,14.677,8.0,94.0,100
TGAT/TPAT,66,20,TPAT2 ความถนัดศิลปกรรมศาสตร์,TPAT2,11546,46.662,47.333,48.666,8.488,8.666,72.0,100
TGAT/TPAT,66,21,TPAT21 ทัศนศิลป์,TPAT21,11546,48.591,48.0,48.0,9.569,0.0,82.0,100
TGAT/TPAT,66,22,TPAT22 ดนตรี,TPAT22,11546,32.366,32.0,32.0,10.522,0.0,86.0,100
TGAT/TPAT,66,23,TPAT23 นาฏศิลป์,TPAT23,11546,59.027,62.0,64.0,15.148,2.0,96.0,100
TGAT/TPAT,66,30,TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์,TPAT3,104641,45.733,45.333,46.0,11.819,7.333,97.333,100
TGAT/TPAT,66,40,TPAT4 ความถนัดสถาปัตยกรรมศาสตร์,TPAT4,8062,66.836,68.0,74.0,12.346,12.0,96.0,100
TGAT/TPAT,66,50,TPAT5 ความถนัดครุศาสตร์-ศึกษาศาสตร์,TPAT5,59618,70.096,72.0,75.0,10.094,6.0,96.0,100
TGAT/TPAT,66,90,TGAT ความถนัดทั่วไป,TGAT,262097,47.154,45.416,39.861,11.868,0.0,93.194,100
TGAT/TPAT,66,91,TGAT1 การสื่อสารภาษาอังกฤษ,TGAT1,262097,37.606,31.666,25.0,18.598,0.0,100.0,100
TGAT/TPAT,66,92,TGAT2 การคิดอย่างมีเหตุผล,TGAT2,262097,42.385,40.0,31.25,14.691,0.0,95.0,100
TGAT/TPAT,66,93,TGAT3 สมรรถนะการทำงาน,TGAT3,262097,61.471,65.0,70.416,14.415,0.0,90.833,100
TGAT/TPAT,67,20,TPAT2 ความถนัดศิลปกรรมศาสตร์,TPAT2,12762,42.026,43.333,44.0,9.054,6.0,70.666,100
TGAT/TPAT,67,21,TPAT21 ทัศนศิลป์,TPAT21,12762,38.164,38.0,38.0,9.906,0.0,76.0,100
TGAT/TPAT,67,22,TPAT22 ดนตรี,TPAT22,12762,31.458,32.0,32.0,10.149,0.0,78.0,100
TGAT/TPAT,67,23,TPAT23 นาฏศิลป์,TPAT23,12762,56.457,60.0,62.0,16.9,0.0,90.0,100
TGAT/TPAT,67,30,TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์,TPAT3,115871,36.056,34.666,30.666,10.157,1.333,86.0,100
TGAT/TPAT,67,40,TPAT4 ความถนัดสถาปัตยกรรมศาสตร์,TPAT4,7655,55.514,55.5,56.0,10.37,0.0,89.5,100
TGAT/TPAT,67,50,TPAT5 ความถนัดครุศาสตร์-ศึกษาศาสตร์,TPAT5,66363,67.138,68.0,69.0,11.669,0.0,96.0,100
TGAT/TPAT,67,90,TGAT ความถนัดทั่วไป,TGAT,268481,50.462,49.444,44.305,11.835,0.0,91.944,100
TGAT/TPAT,67,91,TGAT1 การสื่อสารภาษาอังกฤษ,TGAT1,268481,40.634,36.666,28.333,18.107,0.0,100.0,100
TGAT/TPAT,67,92,TGAT2 การคิดอย่างมีเหตุผล,TGAT2,268481,45.35,45.0,43.75,14.998,0.0,95.0,100
TGAT/TPAT,67,93,TGAT3 สมรรถนะการทำงาน,TGAT3,268481,65.402,68.333,70.833,12.614,0.0,91.666,100
TGAT/TPAT,68,20,TPAT2 ความถนัดศิลปกรรมศาสตร์,TPAT2,11319,48.434,50.0,52.666,9.533,8.666,76.0,100
TGAT/TPAT,68,21,TPAT21 ทัศนศิลป์,TPAT21,11319,51.063,52.0,52.0,11.194,0.0,88.0,100
TGAT/TPAT,68,22,TPAT22 ดนตรี,TPAT22,11319,31.069,32.0,32.0,9.278,0.0,78.0,100
TGAT/TPAT,68,23,TPAT23 นาฏศิลป์,TPAT23,11319,63.17,68.0,70.0,18.436,0.0,96.0,100
TGAT/TPAT,68,30,TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์,TPAT3,116781,44.055,44.0,44.666,10.619,1.333,86.666,100
TGAT/TPAT,68,40,TPAT4 ความถนัดสถาปัตยกรรมศาสตร์,TPAT4,7863,57.119,58.0,60.0,11.245,9.0,91.0,100
TGAT/TPAT,68,50,TPAT5 ความถนัดครุศาสตร์-ศึกษาศาสตร์,TPAT5,72287,65.194,66.0,69.0,11.08,9.0,93.0,100
TGAT/TPAT,68,90,TGAT ความถนัดทั่วไป,TGAT,288390,49.675,48.055,44.722,12.393,0.0,93.75,100
TGAT/TPAT,68,91,TGAT1 การสื่อสารภาษาอังกฤษ,TGAT1,288390,40.417,35.0,26.666,18.813,0.0,100.0,100
TGAT/TPAT,68,92,TGAT2 การคิดอย่างมีเหตุผล,TGAT2,288390,46.473,45.0,40.0,15.733,0.0,97.5,100
TGAT/TPAT,68,93,TGAT3 สมรรถนะการทำงาน,TGAT3,288390,62.134,64.583,67.916,12.473,0.0,90.833,100
TGAT/TPAT,69,20,TPAT2 ความถนัดศิลปกรรมศาสตร์,TPAT2,10691,50.271,51.768,53.197,9.133,8.666,81.959,100
TGAT/TPAT,69,21,TPAT21 ทัศนศิลป์,TPAT21,10691,44.441,44.0,44.0,10.935,0.0,86.0,100
TGAT/TPAT,69,22,TPAT22 ดนตรี,TPAT22,10691,34.338,34.0,34.0,8.922,0.0,82.0,100
TGAT/TPAT,69,23,TPAT23 นาฏศิลป์,TPAT23,10691,72.035,76.0,81.632,17.388,0.0,97.959,100
TGAT/TPAT,69,30,TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์,TPAT3,123450,38.818,38.333,38.333,9.987,0.0,90.0,100
TGAT/TPAT,69,40,TPAT4 ความถนัดสถาปัตยกรรมศาสตร์,TPAT4,8230,52.013,52.0,51.0,11.48,6.0,87.0,100
TGAT/TPAT,69,50,TPAT5 ความถนัดครุศาสตร์-ศึกษาศาสตร์,TPAT5,77191,75.088,77.0,81.0,11.438,1.0,99.0,100
TGAT/TPAT,69,90,TGAT ความถนัดทั่วไป,TGAT,286788,47.831,46.455,40.277,11.899,3.375,90.529,100
TGAT/TPAT,69,91,TGAT1 การสื่อสารภาษาอังกฤษ,TGAT1,286788,40.17,35.0,26.666,18.392,0.0,100.0,100
TGAT/TPAT,69,92,TGAT2 การคิดอย่างมีเหตุผล,TGAT2,286788,44.139,43.037,31.645,15.119,0.0,96.202,100
TGAT/TPAT,69,93,TGAT3 สมรรถนะการทำงาน,TGAT3,286788,59.184,60.833,64.583,10.928,0.0,90.0,100
