major,elective,year,applied,passed,min_score,max_score,quota
ความสัมพันธ์ระหว่างประเทศ,ภาษาเยอรมัน,68,60.0,2.0,78.4332,78.9054,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาเยอรมัน,69,41.0,2.0,78.04,87.6358,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาไทย,66,3542.0,39.0,74.8082,82.9138,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาไทย,67,2378.0,41.0,73.3,80.9916,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาไทย,68,1702.0,33.0,78.25,88.1582,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาไทย,69,868.0,34.0,74.0514,82.9646,66.0
รัฐประศาสนศาสตร์,คณิตศาสตร์ประยุกต์ 2,66,363.0,46.0,62.85,74.9666,66.0
รัฐประศาสนศาสตร์,คณิตศาสตร์ประยุกต์ 2,67,897.0,36.0,63.286,67.6526,66.0
รัฐประศาสนศาสตร์,คณิตศาสตร์ประยุกต์ 2,69,643.0,12.0,68.2995,71.9382,67.0
รัฐประศาสนศาสตร์,ภาษาจีน,66,67.0,2.0,64.4304,65.8358,66.0
รัฐประศาสนศาสตร์,ภาษาจีน,67,105.0,6.0,63.3276,66.9776,66.0
รัฐประศาสนศาสตร์,ภาษาจีน,68,14.0,0.0,,,66.0
รัฐประศาสนศาสตร์,ภาษาจีน,69,107.0,0.0,,,67.0
รัฐประศาสนศาสตร์,ภาษาญี่ปุ่น,66,35.0,2.0,65.9888,69.136,66.0
รัฐประศาสนศาสตร์,ภาษาญี่ปุ่น,67,86.0,8.0,63.2526,70.0944,66.0
รัฐประศาสนศาสตร์,ภาษาญี่ปุ่น,68,12.0,0.0,,,66.0
รัฐประศาสนศาสตร์,ภาษาญี่ปุ่น,69,73.0,1.0,70.6644,70.6644,67.0
รัฐประศาสนศาสตร์,ภาษาฝรั่งเศส,66,69.0,7.0,63.161,73.0804,66.0
รัฐประศาสนศาสตร์,ภาษาฝรั่งเศส,67,115.0,4.0,63.4944,65.3582,66.0
รัฐประศาสนศาสตร์,ภาษาฝรั่งเศส,68,5.0,0.0,,,66.0
รัฐประศาสนศาสตร์,ภาษาฝรั่งเศส,69,62.0,0.0,,,67.0
รัฐประศาสนศาสตร์,ภาษาสเปน,66,18.0,3.0,66.6166,73.025,66.0
รัฐประศาสนศาสตร์,ภาษาสเปน,67,41.0,5.0,63.3082,66.9722,66.0
รัฐประศาสนศาสตร์,ภาษาสเปน,68,8.0,0.0,,,66.0
รัฐประศาสนศาสตร์,ภาษาสเปน,69,49.0,0.0,,,67.0
รัฐประศาสนศาสตร์,ภาษาอังกฤษ,68,779.0,63.0,68.1582,77.2985,66.0
